IdFactura,IdCliente,FechaFactura,FechaVencimiento,Subtotal,IVA,Total,Estado,MetodoPago,Sucursal
B001,B001,05/01/2024,04/02/2024,1250.00,200.00,1450.00,PAGADA,TARJETA_CREDITO,CDMX-NORTE
B002,B003,08/01/2024,07/02/2024,380.00,60.80,440.80,PENDIENTE,TRANSFERENCIA,MTY-CENTRO
B003,B005,10/01/2024,09/02/2024,920.50,147.28,1067.78,PAGADA,TARJETA_CREDITO,TIJ-SUR
B004,B002,12/01/2024,11/02/2024,1800.00,288.00,2088.00,PENDIENTE,TRANSFERENCIA,GDL-OESTE
B005,B008,15/01/2024,14/02/2024,295.00,47.20,342.20,PAGADA,EFECTIVO,QRO-CENTRO
B006,B010,18/01/2024,17/02/2024,490.00,78.40,568.40,PENDIENTE,TARJETA_CREDITO,SLP-ESTE
B007,B004,20/01/2024,19/02/2024,2100.50,336.08,2436.58,PAGADA,TRANSFERENCIA,PUE-CENTRO
B008,B006,22/01/2024,21/02/2024,650.00,104.00,754.00,PENDIENTE,TARJETA_CREDITO,LEO-NORTE
B009,B012,25/01/2024,24/02/2024,980.00,156.80,1136.80,PAGADA,TRANSFERENCIA,TRC-SUR
B010,B015,28/01/2024,27/02/2024,415.00,66.40,481.40,PENDIENTE,EFECTIVO,CUL-CENTRO
B011,B007,01/02/2024,02/03/2024,2600.00,416.00,3016.00,PAGADA,TARJETA_CREDITO,MER-OESTE
B012,B009,05/02/2024,06/03/2024,620.00,99.20,719.20,PENDIENTE,TRANSFERENCIA,MAD-CENTRO
B013,B014,08/02/2024,09/03/2024,875.00,140.00,1015.00,PAGADA,TARJETA_CREDITO,MLR-ESTE
B014,B020,10/02/2024,11/03/2024,3400.00,544.00,3944.00,PENDIENTE,TRANSFERENCIA,ZAC-NORTE
B015,B018,12/02/2024,13/03/2024,510.00,81.60,591.60,PAGADA,EFECTIVO,HMO-CENTRO
B016,B003,15/02/2024,16/03/2024,1180.00,188.80,1368.80,PENDIENTE,TARJETA_CREDITO,MTY-SUR
B017,B011,18/02/2024,19/03/2024,740.00,118.40,858.40,PAGADA,TRANSFERENCIA,AGS-CENTRO
B018,B016,20/02/2024,21/03/2024,1700.00,272.00,1972.00,PENDIENTE,TARJETA_CREDITO,ACA-NORTE
B019,B022,22/02/2024,23/03/2024,460.00,73.60,533.60,PAGADA,EFECTIVO,MAZ-SUR
B020,B013,25/02/2024,26/03/2024,790.50,126.48,916.98,PENDIENTE,TRANSFERENCIA,CHH-CENTRO
B021,B023,28/02/2024,29/03/2024,1420.00,227.20,1647.20,PAGADA,TARJETA_CREDITO,VER-ESTE
B022,B025,02/03/2024,01/04/2024,3100.00,496.00,3596.00,PENDIENTE,TRANSFERENCIA,VLH-NORTE
B023,B017,05/03/2024,04/04/2024,720.00,115.20,835.20,PENDIENTE,TARJETA_CREDITO,DGO-SUR
B024,B099,08/03/2024,07/04/2024,390.00,62.40,452.40,PAGADA,EFECTIVO,CDMX-SUR
B025,B019,10/03/2024,09/04/2024,1900.00,304.00,2204.00,PENDIENTE,TRANSFERENCIA,SAL-CENTRO
