IdProducto,NombreProducto,Categoria,PrecioUnitario,IdProveedor,CodigoBarras,Descripcion,Activo,FechaCreacion,UnidadMedida
B001,Mouse Inalambrico Profesional,Electrónica,"299,99",P001,SKU-MX-WM-001,Mouse inalambrico ergonomico con USB receptor,1,15/06/2022,PIEZA
B002,Cable USB-C 3m Trenzado,Electrónica,"149,50",P001,SKU-MX-UC-002,Cable USB-C a USB-C trenzado 3 metros,1,01/07/2022,PIEZA
B003,Papel Bond A4 Caja 10 resmas,Oficina,"550,00",P008,SKU-MX-PA-003,Papel bond A4 75g 5000 hojas (10 resmas),1,20/05/2022,CAJA
B004,Escritorio Ejecutivo de Madera,Muebles,"3.500,00",P008,SKU-MX-ED-004,Escritorio ejecutivo madera de caoba 1.8m,1,10/08/2022,PIEZA
B005,Monitor LED 27" 4K,Electrónica,"5.200,00",P006,SKU-MX-LM-005,Monitor LED 27 pulgadas 4K con HDMI,1,05/04/2022,PIEZA
B006,Silla de Oficina Ejecutiva,Muebles,"2.800,00",P008,SKU-MX-SO-006,Silla de oficina ejecutiva con soporte lumbar,1,12/09/2022,PIEZA
B007,Termo de Acero Inoxidable 1L,Cocina,"220,50",P017,SKU-MX-TA-007,Termo de acero inoxidable doble pared 1 litro,1,20/11/2022,PIEZA
B008,Botiquin Industrial 75 piezas,Seguridad,"420,00",P009,SKU-MX-BI-008,Botiquin industrial primeros auxilios 75 piezas,1,30/06/2022,PIEZA
B009, Te  Verde Organico 100 bolsitas,Alimentos,"115,00",P004,SKU-MX-TV-009,Te verde organico premium 100 bolsitas,1,15/10/2022,CAJA
B010,Botas de Seguridad con Casquillo,Seguridad,"1.050,00",P009,SKU-MX-BS-010,Botas de seguridad con casquillo de acero,1,10/01/2023,PAR
B011,Solvente Industrial 20L,Quimicos,"650,00",P016,SKU-MX-SI-011,Solvente de limpieza industrial concentrado 20L,1,25/07/2022,CUBETA
B012,Lampara LED de Panel 120W,Iluminacion,"850,00",P004,SKU-MX-LL-012,Lampara LED de panel 120W 6000K,1,05/08/2022,PIEZA
B013,Estanteria Metalica Industrial,Muebles,"2.200,00",P011,SKU-MX-EM-013,Estanteria metalica reforzada 2x1.5m,1,14/03/2022,PIEZA
B014,Casco de Seguridad Industrial,Seguridad,"185,00",P009,SKU-MX-CS-014,Casco de seguridad certificado ANSI amarillo,1,18/02/2023,PIEZA
B015,Maquina de Espresso Profesional,Cocina,"7.200,00",P017,SKU-MX-ME-015,Maquina de espresso profesional 20 bar,1,01/12/2022,PIEZA
B016,Cobija de Lana Premium,Textiles,"520,00",P010,SKU-MX-CL-016,Cobija de mezcla de lana premium gris,1,05/03/2023,PIEZA
B017,Sistema de Filtracion de Agua,Hogar,"2.100,00",P005,SKU-MX-FA-017,Sistema de filtracion de agua 5 etapas,1,20/09/2022,PIEZA
B018,Llanta para Camioneta 18",Automotriz,"2.800,00",P003,SKU-MX-LL-018,Llanta para camioneta 18 pulgadas,1,08/11/2022,PIEZA
B019,Caja de Guantes de Nitrilo 200pz,Seguridad,"250,00",P018,SKU-MX-GN-019,Caja de guantes de nitrilo medicos 200 piezas,1,10/04/2023,CAJA
B020,Lampara de Escritorio LED,Iluminacion,"450,00",P006,SKU-MX-LE-020,Lampara de escritorio LED brazo ajustable,1,28/10/2022,PIEZA
B021,Caja de Barras Proteina 24pz,Alimentos,"280,00",P012,SKU-MX-BP-021,Caja de barras de proteina variedad 24 piezas,1,22/01/2023,CAJA
B022,Interruptor Termomagnetico 100A,Electrónica,"880,00",P006,SKU-MX-IT-022,Interruptor termomagnetico 100A 3 polos,1,10/06/2022,PIEZA
B023,Contenedor Plastico Industrial 50L,Industrial,"195,00",P015,SKU-MX-CP-023,Contenedor de plastico reforzado 50 litros,1,28/02/2023,PIEZA
B024,Extintor Polvo Quimico 5kg,Seguridad,"610,00",,SKU-MX-EP-024,Extintor polvo quimico seco 5kg,1,15/05/2022,PIEZA
B025,Saco de Dormir Profesional -10C,Exterior,"780,00",P010,SKU-MX-SD-025,Saco de dormir 4 estaciones -10C,1,25/04/2023,PIEZA
